New ID,Assessment Started,Assessment Completed
9170321,8/2/2012,9/13/2012
9172871,1/10/2013,1/10/2013
9208499,4/30/2012,5/11/2012
9370673,11/22/2012,11/22/2012
9423763,12/24/2012,12/24/2012
9445242,8/1/2012,1/18/2013
9498827,7/17/2012,7/17/2012
9514933,9/19/2012,9/21/2012
9650131,12/24/2012,12/24/2012
9836037,3/1/2013,3/1/2013
9963484,5/25/2012,5/29/2012
9963484,3/13/2013,3/17/2013
10047280,6/29/2012,7/23/2012
10047280,10/18/2012,10/18/2012
10056900,8/17/2012,9/18/2012
10154947,7/10/2012,7/19/2012
10185912,10/19/2012,10/24/2012
10190707,5/11/2012,5/11/2012
10194473,11/20/2012,11/21/2012
10213914,9/4/2012,10/24/2012
10264766,3/15/2013,3/15/2013
10265224,3/19/2012,6/1/2012
10270666,10/2/2012,10/2/2012
10270666,11/5/2012,11/5/2012
10305190,7/5/2012,7/5/2012
10386869,9/10/2012,9/11/2012
10489139,3/31/2011,1/29/2013
10512072,11/29/2012,11/29/2012
10533549,8/9/2012,8/9/2012
10539531,7/9/2012,7/9/2012
10569592,5/18/2012,5/18/2012
10600427,7/20/2012,7/28/2012
10604436,7/5/2012,7/16/2012
10631700,12/14/2012,12/14/2012
10820387,10/5/2012,10/8/2012
10859181,6/28/2012,7/3/2012
10859181,10/9/2012,10/9/2012
10862292,12/7/2012,12/12/2012
10924394,3/7/2013,3/8/2013
11020631,9/18/2012,9/18/2012
11055804,9/19/2012,9/28/2012
11068939,11/26/2012,11/26/2012
11075709,4/30/2012,5/16/2012
11209683,4/4/2012,4/4/2012
11303538,8/5/2012,8/6/2012
11311318,6/17/2011,1/8/2013
11350813,7/12/2012,7/12/2012
11350813,2/4/2013,2/5/2013
11412271,10/25/2012,10/25/2012
11629929,6/28/2012,6/28/2012
11647923,2/13/2013,2/14/2013
11710483,12/7/2012,12/7/2012
11719272,5/23/2012,5/23/2012
11807414,11/12/2012,11/12/2012
11807414,2/13/2013,2/13/2013
11853490,5/11/2012,5/14/2012
11971464,1/11/2013,1/15/2013
12013201,5/10/2012,5/10/2012
12053314,2/11/2013,2/11/2013
12071272,1/21/2013,2/18/2013
12129090,3/27/2013,3/27/2013
12262925,4/27/2012,4/27/2012
12352610,10/26/2012,10/26/2012
12389319,8/20/2012,8/23/2012
12427675,8/31/2012,8/31/2012
12475070,2/28/2013,3/12/2013
12597969,6/21/2012,7/9/2012
12686763,12/7/2012,1/3/2013
12733167,6/7/2012,6/7/2012
12733205,4/27/2012,7/23/2012
12946335,11/19/2012,11/19/2012
12957402,4/19/2012,4/19/2012
12997752,12/24/2012,12/24/2012
13042071,7/17/2012,7/17/2012
13210072,3/22/2013,3/22/2013
13245007,3/16/2012,6/20/2012
13282690,4/20/2012,4/20/2012
13287568,7/6/2012,7/6/2012
13292088,2/25/2013,2/27/2013
13349085,9/13/2012,12/6/2012
13445373,1/4/2013,1/4/2013
13457816,2/21/2012,5/30/2012
13464349,2/27/2013,2/27/2013
13489699,11/8/2012,11/8/2012
13535385,10/1/2012,10/1/2012
13666915,4/5/2012,4/5/2012
13676484,3/15/2013,3/15/2013
13806476,3/26/2012,6/12/2012
13835711,12/10/2012,12/10/2012
13930124,5/25/2012,5/25/2012
13992302,3/18/2013,3/26/2013
14028369,11/21/2012,11/21/2012
14132075,7/2/2012,7/10/2012
14237512,1/31/2013,1/31/2013
14239758,7/23/2012,7/23/2012
14263418,12/10/2012,12/10/2012
14373788,10/24/2012,10/29/2012
14396398,4/30/2012,5/1/2012
14528892,4/2/2012,4/3/2012
14528892,9/26/2012,9/27/2012
14567732,11/6/2012,11/14/2012
14576639,5/4/2012,5/14/2012
14606881,2/5/2013,2/5/2013
14635222,7/5/2012,7/5/2012
14732366,9/24/2012,11/6/2012
14785357,1/19/2013,1/25/2013
14876820,11/1/2011,2/11/2013
14886267,11/9/2012,11/12/2012
14929753,10/22/2012,10/24/2012
15135141,3/4/2013,3/4/2013
15143798,6/27/2012,6/27/2012
15257457,10/1/2012,10/11/2012
15257696,4/18/2012,4/24/2012
15260359,8/31/2012,9/3/2012
15261613,5/24/2011,11/21/2012
15275168,11/23/2012,11/23/2012
15310747,8/22/2012,8/24/2012
15327618,5/17/2012,5/23/2012
15327618,12/14/2012,12/14/2012
15337913,1/31/2013,3/19/2013
15407237,7/25/2012,7/25/2012
15473688,9/21/2012,9/21/2012
15496758,9/18/2012,9/27/2012
15496758,10/10/2012,10/10/2012
15542420,10/2/2012,10/3/2012
15561529,4/17/2012,4/17/2012
15577244,8/2/2012,8/2/2012
15577244,11/29/2012,11/29/2012
15592643,1/27/2011,11/22/2012
15624934,10/25/2012,10/25/2012
15651254,3/25/2013,3/26/2013
15654360,7/10/2012,7/11/2012
15693035,5/29/2012,5/29/2012
15747251,8/29/2012,8/29/2012
15762322,5/22/2012,10/3/2012
15809146,1/25/2013,1/25/2013
16045026,6/18/2012,6/19/2012
16097720,8/21/2012,8/21/2012
16102828,3/8/2013,3/8/2013
16204651,9/14/2012,9/14/2012
16213044,5/11/2012,5/23/2012
16226991,10/2/2012,10/5/2012
16226991,11/22/2012,11/22/2012
16240438,1/17/2013,1/17/2013
16302701,9/25/2012,9/25/2012
16302701,3/11/2013,3/11/2013
16490326,7/24/2012,8/3/2012
16521594,8/9/2012,8/9/2012
16534970,5/23/2012,5/29/2012
16594285,6/14/2012,6/14/2012
16653679,4/19/2012,4/19/2012
16678923,1/31/2013,1/31/2013
16698123,11/2/2012,11/2/2012
16864431,4/27/2012,4/27/2012
16974374,2/15/2013,2/15/2013
17034496,9/4/2012,9/4/2012
17035160,7/23/2012,8/29/2012
17135608,6/18/2012,6/18/2012
17177584,3/5/2013,3/14/2013
17187632,4/2/2012,4/16/2012
17267872,1/9/2013,1/9/2013
17432633,5/10/2012,5/10/2012
17482859,6/8/2012,6/8/2012
17569881,4/2/2012,4/2/2012
17569881,12/17/2012,12/17/2012
17575206,6/27/2012,7/11/2012
17616225,3/26/2012,4/12/2012
17719989,10/24/2012,10/24/2012
17745420,4/11/2012,4/18/2012
17808127,7/10/2012,7/10/2012
17902988,1/4/2013,1/4/2013
17963388,1/8/2013,1/8/2013
18039382,9/6/2012,9/6/2012
18063358,5/24/2011,11/21/2012
18111948,10/31/2012,10/31/2012
18151931,8/22/2012,9/18/2012
18192225,11/15/2012,11/28/2012
18331894,10/15/2012,10/18/2012
18429312,9/14/2012,10/2/2012
18511914,6/18/2012,11/13/2012
18560152,9/24/2012,9/24/2012
18608552,12/31/2010,11/22/2012
18642504,12/4/2012,12/4/2012
18699636,4/16/2012,4/16/2012
18699636,11/13/2012,11/13/2012
18708896,7/3/2012,7/4/2012
18865804,7/23/2012,7/23/2012
18875411,6/15/2012,9/11/2012
18908107,9/3/2012,9/3/2012
18990980,4/12/2011,12/28/2012
19157810,12/6/2012,12/20/2012
19160363,7/13/2011,7/13/2012
19228053,3/29/2013,3/29/2013
19233500,10/11/2012,10/17/2012
19233500,2/15/2013,2/15/2013
19237013,4/11/2012,7/30/2012
19482928,6/27/2012,6/27/2012
19526414,2/26/2013,2/26/2013
19529431,2/6/2013,2/8/2013
19570454,6/18/2012,6/20/2012
19587895,3/13/2013,3/13/2013
19667273,8/1/2012,1/18/2013
19721998,10/26/2012,10/26/2012
19836220,10/24/2012,11/12/2012
19842966,2/23/2012,6/1/2012
19887643,5/23/2012,6/7/2012
19983052,1/10/2013,1/23/2013
20043759,12/5/2012,12/5/2012
20091526,2/16/2012,6/22/2012
20166185,12/3/2012,12/3/2012
20174632,5/18/2012,5/24/2012
20182951,12/20/2012,12/20/2012
20216564,4/19/2012,8/1/2012
20315017,1/23/2012,1/18/2013
20315115,5/3/2012,5/3/2012
20351227,1/29/2013,1/29/2013
20439752,9/27/2012,9/27/2012
20466987,9/26/2012,10/2/2012
20539908,7/3/2012,7/3/2012
20570503,5/3/2012,5/3/2012
20608614,9/27/2010,10/29/2012
20619730,3/11/2013,3/17/2013
20657760,11/24/2011,6/25/2012
20690925,12/10/2012,12/13/2012
20695913,7/31/2012,8/10/2012
20728743,1/14/2013,1/14/2013
20773241,7/3/2012,7/9/2012
20816488,3/28/2013,3/28/2013
20828846,6/15/2012,6/21/2012
20850140,1/28/2013,3/5/2013
20851191,4/16/2012,6/22/2012
20928235,6/8/2012,6/8/2012
21077199,9/12/2012,9/12/2012
21118279,1/28/2013,1/28/2013
21181438,4/4/2012,4/4/2012
21181438,10/29/2012,10/29/2012
21227753,4/27/2012,7/23/2012
21233739,8/3/2012,8/3/2012
21242919,12/13/2012,12/13/2012
21252763,5/17/2012,5/18/2012
21288764,3/27/2013,3/27/2013
21318707,7/5/2012,7/5/2012
21394455,8/16/2012,9/6/2012
21399614,9/14/2012,9/14/2012
21413541,5/30/2012,5/30/2012
21419087,10/29/2012,12/13/2012
21432164,2/11/2013,2/13/2013
21504785,10/10/2012,10/10/2012
21508005,8/10/2011,11/21/2012
21544568,9/25/2012,9/25/2012
21568831,11/19/2012,11/19/2012
21581069,4/16/2012,4/17/2012
21647111,12/31/2012,12/31/2012
21692861,5/14/2012,5/21/2012
21702719,7/31/2012,7/31/2012
21702719,3/12/2013,3/12/2013
21752463,7/26/2012,9/7/2012
21846517,11/28/2012,11/29/2012
21863309,2/15/2013,2/15/2013
21885822,8/31/2012,8/31/2012
21926771,5/25/2012,6/7/2012
21981605,6/18/2012,6/18/2012
21994737,10/26/2012,10/26/2012
22083264,8/20/2012,10/26/2012
22150440,7/18/2012,7/27/2012
22278232,10/8/2012,10/10/2012
22296255,7/12/2012,7/12/2012
22392484,12/12/2012,12/12/2012
22443852,7/20/2012,7/20/2012
22457038,11/8/2012,11/8/2012
22485894,3/7/2013,3/7/2013
22500322,7/6/2012,7/6/2012
22535275,7/31/2012,8/1/2012
22563626,5/3/2012,6/8/2012
22758286,1/2/2013,1/2/2013
22877654,8/21/2012,8/24/2012
22917623,11/26/2012,12/10/2012
23023271,8/9/2012,8/9/2012
23030060,1/21/2013,1/23/2013
23073642,3/5/2013,3/15/2013
23103066,12/2/2010,10/29/2012
23169572,7/19/2012,7/19/2012
23209088,8/16/2012,12/3/2012
23228478,4/26/2012,4/26/2012
23253485,1/10/2013,1/11/2013
23269572,11/12/2012,1/14/2013
23331237,9/12/2012,9/21/2012
23335563,8/30/2012,8/31/2012
23341860,12/28/2012,12/28/2012
23360198,4/12/2012,4/12/2012
23360198,11/13/2012,11/20/2012
23445632,4/12/2012,4/12/2012
23472047,10/9/2012,10/11/2012
23485400,3/7/2013,3/7/2013
23585594,9/14/2012,9/14/2012
23591647,6/13/2012,6/13/2012
23605021,11/29/2012,12/5/2012
23620663,9/20/2012,9/20/2012
23729411,9/4/2012,9/4/2012
23729411,1/11/2013,1/11/2013
23766007,6/19/2012,6/19/2012
23823949,1/18/2013,1/31/2013
23849672,7/18/2012,7/19/2012
23856953,11/30/2012,11/30/2012
23889581,5/28/2012,5/28/2012
23970462,6/21/2012,9/14/2012
24090940,11/1/2012,11/1/2012
24109118,5/17/2012,5/17/2012
24228790,5/11/2012,5/17/2012
24254423,10/2/2012,10/2/2012
24300194,6/28/2012,9/25/2012
24314952,7/25/2012,7/26/2012
24410866,1/3/2013,1/7/2013
24428138,1/7/2013,1/14/2013
24456253,10/22/2012,10/22/2012
24547486,10/30/2012,11/6/2012
24579132,5/2/2012,7/23/2012
24602021,12/6/2012,2/18/2013
24602021,2/19/2013,2/27/2013
24716317,9/6/2012,9/6/2012
24736775,2/26/2013,2/26/2013
24909590,6/22/2012,6/22/2012
24919514,11/13/2012,11/13/2012
24945764,2/4/2013,2/4/2013
25044066,6/11/2012,6/11/2012
25045427,11/19/2012,11/19/2012
25052884,6/8/2012,6/8/2012
25063017,10/11/2012,10/11/2012
25140550,5/1/2012,5/1/2012
25167261,4/23/2012,4/23/2012
25209438,10/26/2012,10/26/2012
25244372,7/17/2012,7/17/2012
25284835,8/14/2012,8/29/2012
25431432,12/10/2012,12/19/2012
25448811,5/30/2012,6/8/2012
25461437,12/19/2012,1/13/2013
25481692,11/13/2012,11/14/2012
25481692,12/31/2012,12/31/2012
25503403,6/8/2012,6/8/2012
25597788,4/19/2012,4/19/2012
25717860,7/26/2012,8/13/2012
25823726,8/3/2012,8/3/2012
25876066,9/4/2012,9/7/2012
25920598,11/27/2012,11/28/2012
25947869,8/24/2012,8/24/2012
26015474,5/17/2012,5/17/2012
26039666,8/1/2012,8/3/2012
26078708,7/6/2012,7/6/2012
26132957,7/13/2012,7/13/2012
26181250,8/14/2012,8/24/2012
26181250,2/5/2013,2/5/2013
26187802,2/8/2013,2/8/2013
26194701,5/23/2012,6/1/2012
26223318,5/28/2012,5/31/2012
26235237,5/22/2012,10/3/2012
26283627,6/11/2012,6/12/2012
26284438,1/25/2013,1/28/2013
26322755,8/9/2012,10/17/2012
26358055,6/20/2012,7/5/2012
26358055,9/24/2012,9/24/2012
26504510,9/7/2012,9/11/2012
26506616,3/25/2013,3/26/2013
26510709,12/18/2012,12/21/2012
26510709,2/19/2013,2/19/2013
26528428,9/3/2012,1/23/2013
26562743,7/3/2012,8/13/2012
26583508,5/10/2012,5/11/2012
