New ID,Assessment Started,Assessment Completed
13676,10/07/2014,02/25/2014
13676,12/27/2013,10/13/2014
19099,05/30/2014,07/11/2014
37647,09/23/2014,11/10/2014
44707,05/01/2014,06/05/2014
57680,08/06/2015,13/06/2015
65034,09/06/2016,09/07/2016
67425,07/03/2012,07/10/2012
89705,03/30/2017,
107699,11/18/2016,11/23/2016
122333,02/04/2015,6/20/2013
122333,06/18/2013,08/20/2013
122333,6/20/2013,02/10/2015
129650,07/05/2012,7/16/2012
129650,11/13/2014,01/13/2015
134067,05/26/2016,06/16/2016
139452,5/24/2012,5/24/2012
163054,08/02/2016,08/18/2016
174465,04/03/2012,04/05/2012
200159,10/23/2012,10/23/2012
201885,11/21/2012,11/23/2012
201885,12/14/2012,12/14/2012
202836,10/20/2014,12/07/2014
208424,04/04/2013,04/08/2013
210460,11/14/2013,01/20/2014
220414,12/11/2013,02/03/2014
220414,04/01/2016,13/01/2016
232385,02/02/2017,02/02/2017
236521,10/10/2016,10/07/2016
257260,21/07/2015,03/30/2015
257260,03/18/2015,31/07/2015
280937,29/03/2016,04/09/2014
280937,02/20/2017,
280937,03/29/2016,02/20/2017
280937,12/17/2013,04/25/2016
292379,11/19/2013,03/03/2014
306939,02/10/2015,03/24/2015
309610,2/19/2013,2/21/2013
326357,07/29/2013,08/16/2013
338925,07/11/2016,07/11/2016
354654,08/06/2012,08/06/2012
355476,07/06/2012,07/06/2012
370003,6/26/2013,6/26/2013
402703,1/25/2013,1/25/2013
416444,12/20/2011,08/06/2012
448779,06/09/2014,02/06/2014
448779,27/07/2015,07/07/2014
448779,09/27/2013,31/07/2015
455130,05/02/2016,19/02/2016
457441,07/01/2016,10/28/2013
457441,09/16/2013,07/06/2016
459396,06/05/2013,06/05/2013
459396,06/05/2013,07/25/2013
470396,08/13/2014,09/19/2014
475537,11/15/2013,01/06/2014
486249,05/29/2014,06/13/2014
502390,05/31/2016,05/31/2016
516306,11/25/2014,01/26/2015
526031,05/11/2015,12/11/2013
526031,10/10/2103,10/11/2015
529093,07/08/2013,08/21/2013
545082,12/13/2016,02/07/2017
552163,10/31/2013,11/14/2013
567068,05/20/2013,5/24/2013
567068,5/20/2013,07/02/2013
584990,04/11/2015,22/12/2015
589301,08/31/2016,09/05/2016
599590,06/08/2015,17/09/2015
