"New ID","Placement start","Placement type","Legal status"
15496758,03/11/2013,"H5","V2"
15651254,10/07/2013,"Q2","V2"
15719121,06/08/2016,"U6","V2"
15861010,06/14/2013,"K2","V2"
15975467,10/09/2013,"K1","J1"
16007881,05/18/2016,"U6","L1"
16009972,12/30/2015,"U6","L1"
16231252,03/07/2014,"R5","J1"
16459169,12/04/2013,"Q2","V2"
16513393,10/18/2012,"Q1","V2"
16678923,10/14/2013,"Q2","V2"
16816342,08/16/2013,"Q2","C1"
17157095,06/28/2014,"K1","J1"
17213107,10/31/2016,"R5","J1"
17355852,10/07/2013,"H5","V2"
17522930,03/18/2014,"Q2","L1"
17676271,04/02/2014,"U6","L1"
17902988,01/02/2013,"H5","V2"
17976096,09/25/2015,"U6","J1"
18202704,05/01/2015,"U3","V2"
18392070,08/03/2015,"U6","V2"
18909097,10/22/2016,"R5","J1"
19020675,06/06/2014,"H5","V2"
19020675,01/07/2015,"H5","V2"
19066600,12/03/2013,"Q2","L1"
19311791,12/02/2016,"U6","V2"
19360264,04/02/2012,"K2","V2"
19485009,12/19/2013,"R2","C1"
19560636,12/14/2014,"U6","L1"
19560636,03/02/2015,"U6","V2"
19560636,05/01/2015,"U6","C1"
19682995,11/01/2016,"U6","V2"
19721998,04/19/2013,"Q2","C1"
20091526,12/17/2012,"H5","V2"
20166185,12/07/2012,"Q1","V2"
20166185,07/11/2013,"Q2","V2"
20166185,12/05/2013,"Q2","V2"
20444560,01/07/2016,"U6","V2"
20661268,07/28/2014,"U6","L1"
20728743,07/11/2013,"Q1","C1"
20906263,11/07/2016,"H5","V2"
21100065,04/30/2014,"R2","V2"
21177800,05/10/2016,"U6","L1"
21242919,07/08/2013,"Q2","C1"
21269680,07/18/2012,"K1","J1"
21269680,10/10/2013,"K1","J1"
21367529,01/09/2014,"H5","V2"
21413541,11/27/2012,"Q2","C1"
21647111,03/25/2013,"Q2","C1"
21702719,10/25/2013,"Q2","C1"
21846517,11/19/2012,"H5","V2"
21863309,01/16/2014,"H5","J1"
21930639,04/30/2014,"R2","V2"
22002841,05/16/2016,"U6","C1"
22202034,12/04/2015,"U6","V2"
22278232,02/21/2013,"K1","J1"
