"New ID","Started Date","Assessment End Date"
57680,"08/06/2015","13/06/2015"
220414,"04/01/2016","13/01/2016"
257260,"21/07/2015","31/07/2015"
280937,"29/03/2016",
448779,"27/07/2015","31/07/2015"
455130,"05/02/2016","19/02/2016"
526031,"05/11/2015","10/11/2015"
584990,"04/11/2015","22/12/2015"
599590,"06/08/2015","17/09/2015"
637219,"24/12/2015","31/12/2015"
772954,"23/09/2015","24/09/2015"
833048,"11/03/2016","11/03/2016"
857675,"18/02/2015","23/04/2015"
922693,"21/05/2015","21/05/2015"
935321,"09/12/2015","11/01/2016"
966379,"29/03/2016","30/03/2016"
966379,"12/11/2015","12/11/2015"
985375,"19/11/2015","19/11/2015"
1145509,"03/08/2015","29/09/2015"
1169243,"28/07/2015","21/09/2015"
1262742,"24/05/2015","28/05/2015"
1264248,"06/01/2016","23/02/2016"
1282312,"28/07/2015","28/07/2015"
1282946,"07/03/2016","11/04/2016"
1286894,"15/12/2015","23/12/2015"
1355992,"13/08/2015","14/08/2015"
1435096,"20/08/2015","27/09/2015"
1524296,"15/12/2015","19/02/2016"
1588504,"29/10/2015","12/11/2015"
1591769,"30/03/2016","30/03/2016"
1592555,"15/02/2016","31/03/2016"
1628455,"19/06/2015","03/08/2015"
1628455,"04/03/2015","26/05/2015"
1649366,"07/03/2016","09/03/2016"
1669855,"04/03/2015","18/05/2015"
1669855,"09/10/2015","14/10/2015"
1674938,"16/04/2015","16/04/2015"
1679891,"19/01/2016","20/01/2016"
1684849,"03/06/2015","03/06/2015"
1741458,"24/03/2016",
1744440,"19/11/2015","23/11/2015"
1778394,"05/08/2015","04/08/2015"
1864211,"24/04/2015","17/06/2015"
1897075,"14/03/2016","13/03/2016"
1905308,"11/08/2015","20/08/2015"
1951601,"21/04/2015","19/05/2015"
1957380,"05/01/2016","05/01/2016"
2055614,"04/02/2016","04/02/2016"
2072855,"05/04/2016","26/02/2016"
2073856,"28/10/2015","28/10/2015"
2081053,"30/06/2015","01/08/2015"
2149969,"26/02/2016","25/02/2016"
2179932,"22/04/2015","22/04/2015"
2198079,"28/10/2015","28/10/2015"
2215762,"04/03/2015","28/05/2015"
2278505,"18/01/2016","18/01/2016"
2345135,"16/03/2016","16/03/2016"
2345952,"26/01/2016","26/01/2016"
2477752,"29/12/2015","05/01/2016"
2515238,"26/01/2016","29/01/2016"
2529962,"26/02/2016","06/04/2016"
2691866,"16/12/2015","09/02/2016"
2755769,"06/11/2015","05/01/2016"
2755769,"29/02/2016",
2789324,"21/12/2015","29/12/2015"
2823639,"18/01/2016","25/01/2016"
2858418,"07/03/2016","12/04/2016"
2892917,"07/12/2015","11/12/2015"
2918314,"03/08/2015","29/09/2015"
2958496,"28/05/2015","28/05/2015"
2980827,"21/09/2015","21/09/2015"
3006098,"10/12/2015","17/12/2015"
3038814,"01/12/2015","21/12/2015"
3050070,"27/04/2015","07/05/2015"
3064248,"01/04/2015","01/04/2015"
3123786,"06/07/2015","21/08/2015"
3132531,"23/06/2015","01/07/2015"
3141392,"24/02/2016","25/02/2016"
3163668,"12/10/2015","14/10/2015"
3241489,"01/07/2015","30/06/2015"
3241489,"30/03/2016","01/04/2016"
3241489,"01/04/2015","01/04/2015"
3258932,"04/03/2015","14/05/2015"
3278277,"16/10/2015","19/10/2015"
3316672,"24/03/2016",
3397958,"10/08/2015","10/08/2015"
3406736,"30/07/2015","11/10/2015"
3435224,"10/09/2015","18/09/2015"
3437648,"04/09/2015","07/09/2015"
3543608,"10/06/2015","24/06/2015"
3550377,"20/07/2015","07/09/2015"
3578537,"26/07/2015","28/07/2015"
3578537,"30/04/2015","07/05/2015"
3619856,"03/08/2015","05/08/2015"
3626022,"03/06/2015","08/06/2015"
3687280,"24/12/2015","01/02/2016"
3785750,"09/09/2015","10/09/2015"
3803212,"04/01/2016","08/01/2016"
3850974,"11/03/2016","15/03/2016"
3853446,"31/07/2015","04/08/2015"
3877352,"07/07/2015","07/09/2015"
3885606,"24/03/2016","24/03/2016"
3922532,"23/11/2015","27/11/2015"
3934270,"18/01/2016","18/01/2016"
3936224,"12/11/2015","13/11/2015"
3964055,"22/05/2015","09/07/2015"
3970896,"15/07/2015","06/08/2015"
3982198,"20/01/2016","23/02/2016"
4000446,"22/05/2015","21/05/2015"
4020471,"25/06/2015","17/08/2015"
4042412,"29/10/2015","31/10/2015"
4052914,"12/10/2015","12/10/2015"
4056994,"08/06/2015","10/06/2015"
4084768,"09/09/2015","21/10/2015"
4087414,"07/12/2015","07/12/2015"
4107494,"10/06/2015","10/06/2015"
4133586,"19/08/2015","21/09/2015"
4148719,"26/05/2015","26/05/2015"
4251354,"15/09/2015","15/09/2015"
4281855,"18/04/2015","07/05/2015"
4285083,"17/04/2015","06/05/2015"
4319964,"29/12/2015","03/02/2016"
4387836,"23/12/2015","23/12/2015"
4399863,"02/06/2015","13/06/2015"
4399863,"21/04/2015","27/04/2015"
4483010,"20/08/2015","20/08/2015"
4500949,"17/02/2016","24/02/2016"
4516026,"04/11/2015","05/11/2015"
4571933,"18/01/2016","27/01/2016"
4604409,"08/03/2016","05/08/2015"
4663187,"09/07/2015","09/07/2015"
4681109,"30/12/2015","30/12/2015"
4760720,"13/08/2015","17/08/2015"
4779751,"15/03/2016","04/03/2016"
4789893,"17/03/2015","03/06/2015"
4898942,"15/04/2015","28/04/2015"
4899807,"21/03/2016",
4904697,"03/09/2015","02/11/2015"
4908605,"23/11/2015","24/12/2015"
4908605,"07/03/2016",
4934093,"21/10/2015","28/10/2015"
4986107,"25/04/2015","22/04/2015"
5092178,"03/08/2015","05/10/2015"
5170589,"13/10/2015","16/10/2015"
5198676,"22/09/2015","23/09/2015"
5225071,"10/03/2016",
5242459,"27/02/2015","05/04/2015"
5260530,"03/07/2015","21/09/2015"
5336809,"26/01/2016","27/01/2016"
5339071,"30/04/2015","11/05/2015"
5341242,"10/06/2015","08/06/2015"
5341242,"11/06/2015","08/06/2015"
5365704,"16/03/2016","16/03/2016"
5369023,"07/12/2015","07/12/2015"
5417205,"24/02/2016","24/02/2016"
5417377,"23/02/2016","24/02/2016"
5429696,"15/07/2015","14/08/2015"
5441299,"11/12/2015","23/02/2016"
5472365,"18/08/2015","18/08/2015"
5504939,"24/08/2015","14/09/2015"
5551597,"28/08/2015","07/10/2015"
5588260,"02/10/2015","13/11/2015"
5602167,"08/03/2016",
5610272,"08/04/2015","08/04/2015"
5702225,"07/09/2015","07/09/2015"
5714487,"24/07/2015","19/08/2015"
5756673,"22/02/2016","18/03/2016"
5779646,"01/12/2015","23/12/2015"
5830502,"07/01/2016","11/01/2016"
5897438,"08/12/2015","08/12/2015"
5922293,"06/08/2015","06/08/2015"
5937467,"22/01/2016","19/02/2016"
5978332,"04/08/2015","07/08/2015"
5992450,"01/02/2016","01/02/2016"
6022854,"17/04/2015","23/04/2015"
6035593,"21/05/2015","22/05/2015"
6035593,"04/03/2015","14/05/2015"
6088039,"01/12/2015","05/01/2016"
6152416,"11/03/2016",
6196153,"15/05/2015","15/05/2015"
6265903,"08/10/2015","13/10/2015"
6340390,"14/05/2015","14/05/2015"
6378935,"08/03/2016","10/03/2016"
6397449,"09/03/2016","14/03/2016"
