New ID,Age at referral,Gender,Ethnicity,Ward,Referral date
940910,8,F,Black or Black British,Tottenham Green,08/22/2016
940910,8,F,Black or Black British,Tottenham Green,08/22/2016
952852,0,F,Black or Black British,White Hart Lane,03/02/2017
956496,13,F,Mixed,Tottenham Green,10/07/2015
957459,6,M,Black or Black British,Northumberland Park,03/11/2016
966379,9,M,Black or Black British,,08/18/2014
966379,11,M,Black or Black British,,01/25/2016
971448,13,M,Black or Black British,Noel Park,10/12/2017
985098,3,M,Black or Black British,Seven Sisters,01/05/2017
985375,0,M,Black or Black British,White Hart Lane,09/18/2015
985375,1,M,Black or Black British,White Hart Lane,01/26/2017
991020,9,U,,Hornsey,08/10/2017
994982,6,M,Black or Black British,White Hart Lane,02/25/2016
1000037,12,F,White,Woodside,12/01/2015
1009636,6,Male,White,Tottenham Hale,04/11/2012
1019805,4,F,Black or Black British,Tottenham Hale,02/06/2017
1031530,3,F,White,,05/24/2016
1031530,3,F,White,,02/15/2017
1038344,2,F,Black or Black British,,07/07/2016
1047977,15,M,Not stated,St Ann's,08/08/2016
1062615,17,F,White,Bruce Grove,10/16/2017
1068505,6,M,Not stated,Northumberland Park,06/13/2016
1083889,5,Male,Mixed / multiple,,10/22/2012
1108445,14,M,Black or Black British,Seven Sisters,12/12/2016
1118280,3,M,Asian or Asian British,Fortis Green,02/10/2016
1118633,17,F,White,,01/21/2016
1127359,10,F,White,Northumberland Park,09/15/2016
1128698,9,F,Black or Black British,Tottenham Hale,11/25/2015
1128698,10,F,Black or Black British,Tottenham Hale,09/06/2016
1145509,13,F,Black or Black British,West Green,07/31/2015
1145509,13,F,Black or Black British,West Green,10/06/2015
1145509,13,F,Black or Black British,West Green,11/06/2015
1162698,,U,Not stated,Seven Sisters,08/06/2014
1165313,12,F,Black or Black British,,10/23/2014
1165313,14,F,Black or Black British,,02/14/2017
1165797,1,F,Black or Black British,,07/06/2017
1169243,4,M,Mixed,Bruce Grove,07/22/2015
1173468,13,M,Black or Black British,,08/08/2016
1181308,16,Female,Asian / Asian British,Bruce Grove,05/22/2012
1195311,0,U,Not stated,Woodside,08/17/2014
1195551,8,M,Not stated,Tottenham Hale,12/21/2014
1201023,0,F,Black or Black British,Tottenham Hale,12/03/2015
1205199,4,F,Black or Black British,,09/09/2016
1205199,5,F,Black or Black British,,09/22/2017
1205594,0,F,Mixed,Tottenham Green,11/28/2016
1212970,10,F,White,Tottenham Green,09/12/2016
1221871,16,M,White,,04/05/2016
1238333,7,F,Not stated,,05/01/2014
1249343,10,M,Black or Black British,Bruce Grove,08/21/2014
1262742,16,M,Not stated,West Green,04/21/2015
1262742,17,M,Not stated,West Green,06/20/2016
1264248,16,M,Black or Black British,Bruce Grove,10/19/2015
1264248,16,M,Black or Black British,Bruce Grove,12/18/2015
1264248,17,M,Black or Black British,Bruce Grove,08/22/2016
1264248,17,M,Black or Black British,Bruce Grove,06/06/2017
1271432,14,F,White,,07/09/2014
1274964,4,M,,Bruce Grove,11/13/2015
1274964,5,M,,Bruce Grove,01/13/2017
1282312,17,F,Asian or Asian British,Seven Sisters,06/04/2015
1282946,6,F,White,Tottenham Green,10/20/2014
1282946,7,F,White,Tottenham Green,02/04/2016
1284903,23,#N/A,#N/A,Not Stated,07/17/2012
1286894,0,F,Not stated,Hornsey,10/23/2015
1286894,1,F,Not stated,Hornsey,08/29/2017
1290746,15,M,Black or Black British,West Green,12/12/2016
1291151,11,M,Not stated,Noel Park,02/23/2017
1295893,10,F,Chinese or other ethnic group,Tottenham Green,01/11/2017
1317306,0,M,White,Bruce Grove,02/06/2017
1317328,6,F,Mixed,Woodside,12/09/2016
1322191,6,F,Black or Black British,Noel Park,11/21/2014
1327310,3,F,Black or Black British,Woodside,04/11/2017
1327506,7,M,White,St Ann's,11/23/2016
1333768,3,Female,No data,Not Stated,05/21/2012
1333768,8,F,Not stated,,01/11/2017
1355992,0,F,White,Tottenham Green,07/24/2015
1355992,2,F,White,Tottenham Green,10/16/2017
1361343,7,F,Not stated,Noel Park,04/21/2016
1361343,8,F,Not stated,Noel Park,11/14/2017
1381623,6,F,Black or Black British,Tottenham Hale,09/10/2014
1381623,8,F,Black or Black British,Tottenham Hale,11/03/2016
1399420,17,M,Black or Black British,,05/05/2016
1399420,17,M,Black or Black British,,06/02/2016
1402479,0,F,Black or Black British,Tottenham Hale,03/17/2017
1402894,8,M,,Tottenham Hale,12/09/2016
1402894,8,M,,Tottenham Hale,05/17/2017
1424339,6,M,Black or Black British,Northumberland Park,04/26/2016
1424339,6,M,Black or Black British,Northumberland Park,07/04/2016
1435096,0,Female,White,White Hart Lane,02/18/2013
1437672,5,F,Mixed,Bounds Green,04/20/2016
1442077,0,U,,Hornsey,09/22/2017
1443014,9,M,Asian or Asian British,Seven Sisters,01/27/2015
1443014,11,M,Asian or Asian British,Seven Sisters,07/21/2017
1444096,1,Male,White,Seven Sisters,12/18/2012
1458529,0,M,,Noel Park,08/13/2014
1468726,6,M,Black or Black British,Seven Sisters,02/03/2015
