New ID,Assessment Started,Assessment Completed
122333,6/20/2013,6/20/2013
208424,4/4/2013,4/8/2013
370003,6/26/2013,6/26/2013
459396,6/5/2013,6/5/2013
567068,5/20/2013,5/24/2013
961923,5/3/2013,5/15/2013
1149777,2/22/2013,4/19/2013
1169243,11/26/2012,6/24/2013
1197460,4/24/2013,4/25/2013
1439653,6/3/2013,6/3/2013
1522629,6/25/2013,6/28/2013
1712920,4/21/2013,4/21/2013
2015380,4/24/2013,4/24/2013
2204447,3/13/2013,6/21/2013
2348252,4/24/2013,5/1/2013
2348252,6/6/2013,6/12/2013
2572169,4/9/2013,4/15/2013
2744448,6/11/2013,6/11/2013
2762164,5/15/2013,5/16/2013
2980827,11/26/2012,6/18/2013
3049494,6/4/2013,6/4/2013
3075942,5/10/2013,6/7/2013
3293019,5/15/2013,5/16/2013
3421361,4/23/2013,4/23/2013
3604154,5/2/2013,5/2/2013
4297799,4/5/2013,4/5/2013
4638557,6/17/2013,6/17/2013
4770498,5/10/2013,5/13/2013
5210507,4/22/2013,4/29/2013
5323531,5/20/2013,5/22/2013
5735972,4/23/2013,4/23/2013
5916422,6/12/2013,6/12/2013
5978332,5/28/2013,5/28/2013
6143224,4/4/2013,4/5/2013
6181073,5/30/2013,5/30/2013
6466576,4/3/2013,4/3/2013
6486511,4/22/2013,4/22/2013
7190257,4/17/2013,4/23/2013
7502185,2/18/2013,5/9/2013
7502185,6/12/2013,6/12/2013
7706217,3/8/2013,5/8/2013
7990890,6/5/2013,6/6/2013
8156199,6/11/2013,6/27/2013
8228348,2/22/2013,4/19/2013
8272869,6/13/2013,6/13/2013
8708604,4/10/2013,4/10/2013
8992164,3/1/2013,4/3/2013
9370673,5/29/2013,5/29/2013
9490389,4/26/2013,4/29/2013
10445971,4/22/2013,4/22/2013
10581544,4/24/2013,5/10/2013
10765706,4/10/2013,5/31/2013
10778020,5/17/2013,5/17/2013
11052747,4/3/2013,4/3/2013
11156449,6/12/2013,6/12/2013
11677829,5/13/2013,5/13/2013
11735270,4/16/2013,4/16/2013
11809900,6/3/2013,6/21/2013
12181244,4/10/2013,4/10/2013
12302354,5/16/2013,5/17/2013
12574752,5/13/2013,5/13/2013
12673865,5/10/2013,5/22/2013
13202966,5/8/2013,5/10/2013
13517437,4/23/2013,4/23/2013
13842422,6/12/2013,6/12/2013
14009015,4/25/2013,4/26/2013
14036571,4/17/2013,4/23/2013
14097805,4/16/2013,4/16/2013
14214226,6/5/2013,6/18/2013
14528892,5/2/2013,5/2/2013
15076104,5/1/2013,5/1/2013
15135141,3/4/2013,5/20/2013
15159673,5/28/2013,5/30/2013
15275168,3/13/2013,6/21/2013
15397607,2/27/2013,4/29/2013
15632439,4/3/2013,4/8/2013
15693035,6/11/2013,6/11/2013
