"New ID","Started Date","Assessment End Date"
65034,09/06/2016,09/07/2016
89705,03/30/2017,
107699,11/18/2016,11/23/2016
134067,05/26/2016,06/16/2016
163054,08/02/2016,08/18/2016
232385,02/02/2017,02/02/2017
236521,10/10/2016,10/07/2016
280937,02/20/2017,02/20/2017
280937,03/29/2016,04/25/2016
338925,07/11/2016,07/11/2016
457441,07/01/2016,07/06/2016
502390,05/31/2016,05/31/2016
545082,12/13/2016,02/07/2017
589301,08/31/2016,09/05/2016
608870,12/29/2016,02/16/2017
612372,07/04/2016,08/12/2016
648063,03/01/2017,03/01/2017
685447,05/05/2016,05/09/2016
708809,01/05/2017,01/05/2017
832689,05/05/2016,07/15/2016
838007,05/09/2016,05/25/2016
840518,07/08/2016,07/13/2016
854835,11/01/2016,11/03/2016
855177,10/24/2016,10/25/2016
858788,04/10/2016,04/11/2016
862288,11/03/2016,11/04/2016
896321,11/03/2016,11/02/2016
897334,07/08/2016,07/25/2016
940910,08/25/2016,10/17/2016
957459,04/20/2016,05/10/2016
957459,05/13/2016,05/10/2016
985098,03/06/2017,03/06/2017
985375,03/27/2017,03/29/2017
994982,04/25/2016,03/15/2016
1031530,09/04/2016,09/04/2016
1031530,03/06/2017,03/07/2017
1047977,09/01/2016,09/05/2016
1068505,07/06/2016,07/06/2016
1108445,01/16/2017,01/31/2017
1118280,01/09/2017,02/21/2017
1128698,09/08/2016,09/27/2016
1205594,01/26/2017,01/27/2017
1221871,05/04/2016,05/10/2016
1282946,03/07/2016,04/11/2016
1290746,12/30/2016,02/04/2017
1291151,03/26/2017,
1295893,01/19/2017,03/06/2017
1317328,12/30/2016,01/31/2017
1327506,12/08/2016,01/30/2017
1381623,11/08/2016,01/10/2017
1402894,12/09/2016,02/07/2017
1424339,07/04/2016,07/15/2016
1437672,05/12/2016,05/12/2016
1468726,11/22/2016,11/30/2016
1483390,07/27/2016,07/27/2016
1549322,11/07/2016,11/08/2016
1587639,07/14/2016,07/15/2016
1626788,07/06/2016,07/06/2016
1673284,06/01/2016,06/08/2016
1681449,09/23/2016,09/27/2016
1692888,04/15/2016,04/14/2016
1741458,03/24/2016,04/28/2016
1839641,12/09/2016,12/19/2016
1865085,03/06/2017,
1865085,10/05/2016,10/03/2016
1919599,12/12/2016,02/06/2017
1942772,04/01/2016,04/05/2016
1942772,02/21/2017,02/23/2017
1947472,02/13/2017,03/01/2017
1948279,04/19/2016,04/19/2016
2016379,07/07/2016,08/05/2016
2037420,03/22/2017,03/29/2017
2055614,09/05/2016,08/22/2016
2072855,04/05/2016,02/26/2016
