"New ID","Started Date","Assessment End Date"
6625063,04/11/2014,04/16/2014
6661752,08/22/2014,09/05/2014
6670925,12/05/2014,12/26/2014
6691549,03/31/2014,04/09/2014
6693974,10/27/2014,01/13/2015
6764477,07/04/2014,08/29/2014
6774942,03/19/2015,
6788053,07/01/2014,07/29/2014
6791090,01/14/2015,02/25/2015
6838440,11/05/2014,11/30/2014
6877919,03/19/2015,03/19/2015
6931674,02/25/2014,04/14/2014
6934109,02/05/2015,02/06/2015
6934109,10/17/2014,10/23/2014
6941811,05/29/2014,06/12/2014
6969237,10/27/2014,10/29/2014
6976030,10/27/2014,11/19/2014
7025983,08/08/2014,08/11/2014
7076196,02/19/2015,02/24/2015
7076196,02/17/2015,02/18/2015
7076196,10/29/2014,11/03/2014
7076196,04/30/2014,06/02/2014
7220170,01/06/2015,01/13/2015
7256141,03/31/2014,04/16/2014
7258712,07/09/2014,09/04/2014
7290968,01/30/2015,02/20/2015
7312338,01/09/2015,02/10/2015
7312338,03/18/2015,02/10/2015
7317975,06/06/2014,06/27/2014
7342318,01/19/2015,01/20/2015
7347621,10/07/2014,10/27/2014
7395101,07/07/2014,07/22/2014
7410721,02/05/2015,03/18/2015
7451037,11/19/2014,12/19/2014
7477135,03/26/2014,04/14/2014
7480727,12/02/2014,12/17/2014
7502185,07/28/2014,08/07/2014
7512870,06/03/2014,06/04/2014
7515320,06/13/2014,06/19/2014
7515320,06/13/2014,01/14/2015
7531226,01/08/2014,04/09/2014
7586328,04/01/2014,05/13/2014
7601903,07/28/2014,09/11/2014
7604612,07/01/2014,08/13/2014
7653333,01/05/2015,01/23/2015
7653333,08/21/2014,09/19/2014
7688591,10/24/2014,11/06/2014
7719282,10/23/2014,11/14/2014
7736556,03/25/2015,
7740389,09/11/2014,09/22/2014
7869649,07/04/2014,08/20/2014
7942769,10/22/2014,11/28/2014
8049669,03/18/2015,03/18/2015
8156199,01/09/2015,01/21/2015
8205742,10/06/2014,11/27/2014
8266833,07/31/2014,09/15/2014
8272869,09/22/2014,10/13/2014
8391844,11/04/2014,11/11/2014
8411800,01/20/2015,02/12/2015
8472813,01/27/2015,02/18/2015
8483271,02/18/2014,04/07/2014
8590373,08/07/2014,08/08/2014
8590373,03/03/2014,04/28/2014
8591961,04/28/2014,04/28/2014
8651169,02/19/2015,02/20/2015
8708604,11/20/2014,11/28/2014
8788629,12/29/2014,01/13/2015
8850745,05/01/2014,06/01/2014
8975852,05/12/2014,05/14/2014
8985622,01/20/2015,01/22/2015
8987039,03/31/2014,05/12/2014
9062368,07/24/2014,07/31/2014
9083227,11/25/2014,11/28/2014
9105180,10/20/2014,11/11/2014
9135940,01/29/2015,02/05/2015
9158003,05/01/2014,06/10/2014
9205555,11/18/2014,12/08/2014
9300643,07/02/2014,10/24/2014
9353620,06/26/2014,09/02/2014
9356615,03/31/2014,05/02/2014
9367069,06/13/2014,07/15/2014
9387121,03/31/2015,
9405498,02/24/2015,
9423763,01/22/2015,01/22/2015
9428322,08/10/2014,08/11/2014
9440199,11/24/2014,02/05/2015
9448897,06/06/2014,07/24/2014
9476624,03/25/2015,
9481103,01/21/2015,01/25/2015
9621927,01/09/2015,02/27/2015
9666398,09/26/2014,11/11/2014
9684708,07/31/2014,09/23/2014
9696600,05/01/2014,05/16/2014
9705010,06/16/2014,07/18/2014
9737297,11/18/2013,04/03/2014
9758972,12/01/2014,12/11/2014
9800437,07/31/2014,09/02/2014
9805317,01/15/2015,03/04/2015
9805317,05/14/2014,07/15/2014
9822361,09/11/2014,11/03/2014
9828099,07/10/2014,07/17/2014
9836708,02/25/2014,04/23/2014
9837529,07/02/2014,08/18/2014
9858509,01/13/2015,01/15/2015
9989814,03/26/2015,03/26/2015
10044295,06/24/2014,07/28/2014
10150979,02/16/2015,02/20/2015
10190707,01/13/2015,01/15/2015
10194473,12/15/2014,12/19/2014
10195057,02/14/2014,04/15/2014
10225368,06/03/2014,07/18/2014
10270666,05/09/2014,06/04/2014
10296948,08/11/2014,09/23/2014
10312759,01/29/2014,04/07/2014
10472432,10/29/2014,11/14/2014
10494410,03/26/2014,05/21/2014
10716598,07/10/2014,09/10/2014
10717065,01/27/2015,02/18/2015
10800611,03/24/2015,03/24/2015
10884803,05/08/2014,05/09/2014
10903667,06/13/2014,06/26/2014
10935547,10/01/2013,04/10/2014
10990482,01/20/2015,01/20/2015
11068787,06/16/2014,07/03/2014
11114314,02/07/2014,04/16/2014
11127694,12/29/2014,01/13/2015
11164415,03/28/2014,05/09/2014
11289498,04/01/2014,05/23/2014
11303538,08/15/2014,09/09/2014
11311318,04/02/2014,05/29/2014
11311318,11/06/2014,11/11/2014
11327563,05/21/2014,05/28/2014
11332295,03/19/2015,
11351306,07/30/2014,10/05/2014
11421447,12/12/2014,12/17/2014
11494296,02/28/2014,04/01/2014
11500582,10/07/2014,10/22/2014
11571307,03/26/2015,03/30/2015
11591401,07/02/2014,09/18/2014
11618555,10/14/2014,11/12/2014
11676702,05/01/2014,06/12/2014
11677829,10/03/2014,10/13/2014
11677829,05/13/2014,05/29/2014
11741616,02/23/2015,03/30/2015
11798951,08/07/2014,08/08/2014
11883301,10/01/2014,11/29/2014
11910948,03/24/2014,05/27/2014
11990248,12/12/2014,12/15/2014
12017851,07/04/2014,08/14/2014
12038744,01/19/2015,03/09/2015
12039999,07/30/2014,09/11/2014
12082947,02/06/2015,02/12/2015
12126915,08/20/2014,09/05/2014
12131186,03/28/2014,05/02/2014
12169180,11/19/2014,01/20/2015
12169180,07/30/2014,09/15/2014
12291822,11/28/2014,12/18/2014
12322810,07/01/2014,08/19/2014
12387425,01/22/2014,04/28/2014
12389319,11/05/2014,11/07/2014
12426432,05/16/2014,06/27/2014
12427675,02/23/2015,02/24/2015
12510776,11/25/2014,01/12/2015
12548550,04/14/2014,05/20/2014
12575463,03/18/2015,03/13/2015
12673865,03/06/2015,
12681704,05/23/2014,07/02/2014
12683499,05/01/2014,05/27/2014
12733205,08/27/2014,08/28/2014
12733205,06/03/2014,06/25/2014
12736165,04/01/2014,05/23/2014
12766788,03/24/2014,05/06/2014
12792036,03/18/2015,03/19/2015
12798310,08/03/2014,08/04/2014
12874172,11/24/2014,02/05/2015
12905654,10/06/2014,11/13/2014
12966294,06/25/2014,07/25/2014
12994626,02/13/2014,04/02/2014
12997752,01/29/2015,03/12/2015
13011011,03/18/2014,04/10/2014
13097313,03/24/2014,04/23/2014
13108862,03/28/2014,05/20/2014
13236037,08/18/2014,09/09/2014
13241396,07/02/2014,08/22/2014
13304914,12/11/2014,12/12/2014
13305898,03/26/2015,03/26/2015
13337997,09/18/2014,10/09/2014
13338045,12/15/2013,04/16/2014
13357650,10/29/2014,11/15/2014
13406808,07/31/2014,09/15/2014
13416282,12/08/2014,02/09/2015
13447646,03/19/2015,03/23/2015
13447656,12/08/2014,01/09/2015
13465106,05/28/2014,06/05/2014
13465106,10/03/2014,10/13/2014
13527602,11/27/2014,01/06/2015
13527602,02/11/2014,04/30/2014
13577618,12/10/2014,12/11/2014
13579368,03/18/2015,03/18/2015
13632961,03/23/2015,03/23/2015
13649608,02/03/2015,02/17/2015
13665289,05/01/2014,05/06/2014
13666915,05/01/2014,05/28/2014
13688978,05/01/2014,06/02/2014
13690473,11/17/2014,01/13/2015
13741496,12/09/2014,12/15/2014
13811678,03/06/2015,03/10/2015
13835711,06/13/2014,06/30/2014
13835711,02/13/2014,04/14/2014
13842422,07/03/2013,04/07/2014
13861855,01/23/2015,02/27/2015
